
Step :5400, avg score : -1.2, avg_cover_radius :  90.96, avg_sent_package:  49.73
Step :5425, avg score : -1.0, avg_cover_radius :  94.40, avg_sent_package:  49.26
Step :5450, avg score : -0.9, avg_cover_radius :  95.63, avg_sent_package:  49.88
Step :5475, avg score : -1.0, avg_cover_radius :  94.27, avg_sent_package:  49.87
Step :5500, avg score : -0.9, avg_cover_radius :  96.26, avg_sent_package:  50.82
Step :5525, avg score : -1.2, avg_cover_radius :  93.35, avg_sent_package:  50.36
Step :5550, avg score : -1.2, avg_cover_radius :  93.05, avg_sent_package:  49.79
Step :5575, avg score : -1.1, avg_cover_radius :  92.93, avg_sent_package:  50.00
Step :5600, avg score : -0.9, avg_cover_radius :  96.47, avg_sent_package:  49.72
Step :5625, avg score : -1.2, avg_cover_radius :  92.40, avg_sent_package:  48.49
Step :5650, avg score : -0.9, avg_cover_radius :  95.69, avg_sent_package:  50.32
Step :5675, avg score : -0.8, avg_cover_radius :  96.11, avg_sent_package:  50.81
Step :5700, avg score : -1.1, avg_cover_radius :  92.54, avg_sent_package:  49.70
Step :5725, avg score : -1.1, avg_cover_radius :  94.77, avg_sent_package:  50.12
Step :5750, avg score : -1.2, avg_cover_radius :  93.69, avg_sent_package:  49.94
Step :5775, avg score : -1.1, avg_cover_radius :  94.72, avg_sent_package:  50.05
Step :5800, avg score : -1.0, avg_cover_radius :  94.97, avg_sent_package:  49.44
Step :5825, avg score : -0.8, avg_cover_radius :  95.99, avg_sent_package:  50.38
Step :5850, avg score : -1.1, avg_cover_radius :  93.88, avg_sent_package:  50.24
Step :5875, avg score : -1.0, avg_cover_radius :  94.87, avg_sent_package:  50.49
Step :5900, avg score : -0.9, avg_cover_radius :  95.90, avg_sent_package:  50.94
Step :5925, avg score : -1.4, avg_cover_radius :  90.84, avg_sent_package:  49.94
Step :5950, avg score : -1.7, avg_cover_radius :  89.24, avg_sent_package:  50.33
Step :5975, avg score : -1.0, avg_cover_radius :  94.34, avg_sent_package:  50.14
Step :6000, avg score : -0.9, avg_cover_radius :  95.69, avg_sent_package:  50.59
Step :6025, avg score : -1.1, avg_cover_radius :  93.34, avg_sent_package:  49.38
Step :6050, avg score : -1.0, avg_cover_radius :  93.99, avg_sent_package:  49.38
Step :6075, avg score : -0.9, avg_cover_radius :  95.84, avg_sent_package:  49.79
Step :6100, avg score : -1.4, avg_cover_radius :  91.06, avg_sent_package:  50.13
Step :6125, avg score : -1.3, avg_cover_radius :  91.89, avg_sent_package:  50.91
Step :6150, avg score : -1.2, avg_cover_radius :  92.08, avg_sent_package:  50.22
Step :6175, avg score : -1.1, avg_cover_radius :  95.56, avg_sent_package:  50.50
Step :6200, avg score : -1.2, avg_cover_radius :  93.51, avg_sent_package:  50.37
Step :6225, avg score : -0.9, avg_cover_radius :  94.69, avg_sent_package:  49.40
Step :6250, avg score : -1.1, avg_cover_radius :  94.24, avg_sent_package:  50.32
Step :6275, avg score : -1.2, avg_cover_radius :  93.77, avg_sent_package:  51.06
Step :6300, avg score : -1.0, avg_cover_radius :  95.29, avg_sent_package:  50.49
Step :6325, avg score : -1.1, avg_cover_radius :  92.76, avg_sent_package:  50.16
Step :6350, avg score : -1.1, avg_cover_radius :  94.90, avg_sent_package:  50.45
Step :6375, avg score : -1.1, avg_cover_radius :  95.18, avg_sent_package:  49.38
Step :6400, avg score : -1.1, avg_cover_radius :  94.69, avg_sent_package:  49.51
Step :6425, avg score : -1.3, avg_cover_radius :  92.63, avg_sent_package:  49.51
Step :6450, avg score : -1.3, avg_cover_radius :  93.47, avg_sent_package:  49.85
Step :6475, avg score : -1.2, avg_cover_radius :  93.94, avg_sent_package:  50.52
Step :6500, avg score : -1.3, avg_cover_radius :  90.71, avg_sent_package:  49.00
Step :6525, avg score : -1.0, avg_cover_radius :  95.00, avg_sent_package:  49.76
Step :6550, avg score : -1.2, avg_cover_radius :  92.11, avg_sent_package:  49.98
Step :6575, avg score : -1.5, avg_cover_radius :  92.53, avg_sent_package:  51.28
Step :6600, avg score : -1.0, avg_cover_radius :  95.05, avg_sent_package:  50.22
Step :6625, avg score : -1.2, avg_cover_radius :  93.48, avg_sent_package:  48.67
Step :6650, avg score : -1.2, avg_cover_radius :  94.38, avg_sent_package:  50.01
Step :6675, avg score : -1.1, avg_cover_radius :  94.29, avg_sent_package:  50.99
Step :6700, avg score : -1.1, avg_cover_radius :  94.38, avg_sent_package:  49.58
Step :6725, avg score : -1.0, avg_cover_radius :  94.55, avg_sent_package:  49.04
Step :6750, avg score : -0.9, avg_cover_radius :  95.97, avg_sent_package:  50.08
Step :6775, avg score : -1.1, avg_cover_radius :  93.92, avg_sent_package:  50.73
